ID,Taxonomy,End Node,Data Source Status,MFR HTML1,MFR HTML2,PT MFR Sourced PDF1,PT MFR Sourced PDF_Page No,PT MFR Sourced PDF2,PT MFR Sourced PDF_Page No,Sherwin Automotive: http://pbe.sherwin-automotive.com/ (automotive SKUs),Distributor Source: Grainger- https://www.grainger.com/,Distributor Source: Home Depot- http://www.homedepot.com/,Distributor Source: Lowes- http://www.lowes.com/,MPN Number,Brand,Manufacturer,UPC,Product Name,Att 1,Val 1,UOM 1,Att 2,Val 2,UOM 2,Att 3,Val 3,UOM 3,Att 4,Val 4,UOM 4,Att 5,Val 5,UOM 5,Att 6,Val 6,UOM 6,Att 7,Val 7,UOM 7,Att 8,Val 8,UOM 8,Att 9,Val 9,UOM 9,Att 10,Val 10,UOM 10,Att 11,Val 11,UOM 11,Att 12,Val 12,UOM 12,Att 13,Val 13,UOM 13,Att 14,Val 14,UOM 14,Att 15,Val 15,UOM 15,Att 16,Val 16,UOM 16,Att 17,Val 17,UOM 17,Att 18,Val 18,UOM 18,Att 19,Val 19,UOM 19,Att 20,Val 20,UOM 20,Att 21,Val 21,UOM 21,Att 22,Val 22,UOM 22,Att 23,Val 23,UOM 23,Att 24,Val 24,UOM 24,Att 25,Val 25,UOM 25,Att 26,Val 26,UOM 26,Att 27,Val 27,UOM 27,Att 28,Val 28,UOM 28,Att 29,Val 29,UOM 29,Att 30,Val 30,UOM 30,Allotted To,Overall Status
001025626,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Spray Booths & Curing Ovens>Spray Booth Filters",Spray Booth Filters,Found,,,http://www.freudenberg-filter.com/fileadmin/templates/US_downloads/pan_r1_panel.pdf,1,,,,,,,R1,Viledon®,VILEDON FILTERS,752691001056,Intake Filter for Spray Booth,Product Width,20,Inch,Product Material,Synthetic,,Pack Size,1,per Box,Product Length,20,Inch,Mesh Microns,10,Micron,Maximum Temperature Rating,250,°F,Thickness,0.71,Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susithra S,Completed
001025667,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Spray Booths & Curing Ovens>Spray Booth Filters",Spray Booth Filters,Found,,,http://www.freudenberg-filter.com/fileadmin/templates/US_downloads/pan_r1_panel.pdf,1,,,,,,,R1,Viledon®,VILEDON FILTERS,752691002046,Intake Filter for Spray Booth,Product Width,20,Inch,Product Material,Synthetic,,Pack Size,1,Each,Product Length,25,Inch,Mesh Microns,10,Micron,Maximum Temperature Rating,250,°F,Thickness,0.71,Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susithra S,Completed
001025675,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Spray Booths & Curing Ovens>Spray Booth Filters",Spray Booth Filters,Found,,,http://www.freudenberg-filter.com/fileadmin/templates/US_downloads/pan_r1_panel.pdf,1,,,,,,,R1,Viledon®,VILEDON FILTERS,752691003036,Intake Filter for Spray Booth,Product Width,20,Inch,Product Material,Synthetic,,Pack Size,1,per Box,Product Length,48,Inch,Mesh Microns,10,Micron,Maximum Temperature Rating,250,°F,Thickness,0.71,Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susithra S,Completed
001039064,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-HIGH-FLOW-INTERCHANGE-/Tapered-female-thread-coupler,us,c-c351-epc1000003.html",,,,,,,,,,ERC 071201,,PREVOST,,Regular Quick Coupler,Product Width,,,Connector Type,1/4 Inch NPT Female,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,,,CFM @ PSI,35,SCFM,Capacity Volume,2.8,Ounce,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,71.5,mm,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Green (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,28,mm,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),174,PSI,,,,,,,Vaishali S,Completed
001121466,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,http://www.herkules.us/herkules/products/paint-gun-washers/,,http://www.herkules.us/wp-content/uploads/2015/08/l100_00_g200_herkules_paint_gun_washer_brochure.pdf,1,,,,,,,G200,,HERKULES,,Paint Gun Washer,Product Width,24.5,Inch,Connector Type,,,Product Depth,20.6,Inch,Compatible Sprayer Type,,,Product Weight,68,Lb,CFM @ PSI,,,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,Classic Blue,,Product Height,46,Inch,Maximum Temperature Rating,,,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Waterborne or Solvent Paint,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,4,,Handle Style,,,Maximum Fluid Pressure (PSI),,,,,,,,,Vaishali S,Completed
001374099,Equipment & Supplies>Work Tools>Power Tools>Dent Removal Machines & Accessories,Dent Removal Machines & Accessories,Found,http://www.dentfix.com/#!shop-1/mw12b/!/The-Maxi-220v/p/65881328,,http://dentfix888.com/wp-content/uploads/2013/10/df-505-Instructions.pdf,1,,,,,,,505,,DENT FIX EQUIPMENT,,Multiple Pull Dent Station,Product Width,10,Inch,Product Weight,67.5,Lb,Contents,"Two Light Pulling Rods;Two Slide Hammer Rods With Strike Weight;Stud Pin Electrode;Shrinking Electrode;Wiggle Wire Weld Tip;Nine and Four Finger ""Bear Claw"";50 Stud Weld Pins;1 Pound of Wiggle Wire;21 Feet of Power Cable;Nine Feet of Welding Cable",,Drive Type,Electrical,,Product Length,20,Inch,Product Height,14,Inch,Accessory Type,Multiple Pull Dent Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seenivasan K,Completed
001548916,Equipment & Supplies>Fans & Lights>Work Lights,Work Lights,Found,http://www.warnertool.com/searchresult.php?sch=P11020&x=0&y=0,http://www.warnertool.com/product.php?cat=PW,http://www.warnertool.com/Catalog%5C2013WMCCatalog.pdf?GSBYPASS=1929F72C1CFED82045E72E05AE97FE38&N=a5QSiQ&M=application/pdf&D=,41,,,,https://www.grainger.com/product/WARNER-TOOL-PRODUCTS-Temp-Job-Site-Light-9WMV2,,,P11020,,WARNER® TOOL PRODUCTS,724281000114,Worklight,Light Stand Min Height,4,Feet,Light Stand Max Height,8,Feet,Wattage,500,Watt,Illumination Area,7000,ft²,Number of Lights,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandhakumar N,Completed
001878248,Equipment & Supplies>Material Handling>Loading Ramps & Accessories,Loading Ramps & Accessories,Found,http://www.wernerco.com/us/en/view/Products/Racks%20%20Ramps/Ramps/R000/R422,http://www.wernerco.com/us/en/viewseries/R000,,,,,,,,,R422,,WERNER®,051751082098,Folding Arch Ramp,Product Width,11,Inch,Contents,2 Ramps,,Product Material,Aluminum,,Pack Size,1,Each,Product Length,51-5/8,Inch,Load Capacity,700 (Ramp);1400 (Pair),Lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
001991611,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,http://www.herkules.us/herkules/products/paint-gun-washers/,,http://www.herkules.us/wp-content/uploads/2015/08/l101_00_g202_herkules_paint_gun_washer_brochure.pdf,1,,,,,,,G202,,HERKULES,,Paint Gun Washer,Product Width,21.2,Inch,Connector Type,,,Product Depth,22.6,Inch,Compatible Sprayer Type,,,Product Weight,68,Lb,CFM @ PSI,,,Capacity Volume,5 (Reservoir),Gallon,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,,,Product Height,46.2,Inch,Maximum Temperature Rating,,,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Waterborne or Solvent Paint,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,2,,Handle Style,,,Maximum Fluid Pressure (PSI),,,,,,,,,Vaishali S,Completed
002866598,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,http://www.titantool.com/accessory/hose-reel/,,http://www.titantool.com/fileadmin/user_upload/Brochures___Manuals/Current_Brochures/Accessories_Brochure_2016.pdf,21,,,,,,,769-100,,TITAN TOOL INC,612560082589,Hose Reel,Product Width,1/4 (Hose),Inch,Connector Type,,,Product Depth,,,Compatible Sprayer Type,Paint Sprayer,,Product Weight,,,CFM @ PSI,,,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,100 (Hose),Feet,Pressure Washer Nozzle Size,,,Color Family,Red (Hose);Black (Reel),,Product Height,,,Maximum Temperature Rating,,,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Cart-Mount Paint Sprayer,,Thickness,,,Product Diameter,16,Inch,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),3600,PSI,,,,,,,Pratheeba C,Completed
